"series","time","x","initial_value","x_obs","n_total"
"1",1,2.91617001796443,2,3,600
"1",2,3.46006704051576,2,3,600
"1",3,3.79981697056285,2,0,600
"1",4,4.01810805461791,2,0,600
"1",5,4.16074243584607,2,11,600
"1",6,4.25492894030097,2,3,600
"1",7,4.31754403641707,2,0,600
"1",8,4.35935531424053,2,3,600
"1",9,4.38735575588073,2,1,600
"1",10,4.4061435277418,2,0,600
"1",11,4.41876524745973,2,0,600
"1",12,4.42725339494004,2,9,600
"1",13,4.43296413519862,2,15,600
"1",14,4.43680792554989,2,2,600
"1",15,4.4393957791727,2,1,600
"1",16,4.44113820477266,2,4,600
"1",17,4.44231181661584,2,1,600
"1",18,4.44310214940591,2,4,600
"1",19,4.44363447425865,2,3,600
"1",20,4.44399302387805,2,0,600
"1",21,4.44423448622167,2,6,600
"1",22,4.44439730036745,2,0,600
"1",23,4.44450688175781,2,5,600
"1",24,4.44458059245668,2,1,600
"1",25,4.44463028058768,2,0,600
"1",26,4.44466371380378,2,7,600
"1",27,4.44468622468552,2,1,600
"1",28,4.44470144947444,2,0,600
"1",29,4.44471171610691,2,2,600
"1",30,4.44471869555622,2,7,600
"1",31,4.44472335228314,2,0,600
"1",32,4.44472646033856,2,2,600
"1",33,4.4447285527514,2,1,600
"1",34,4.44472996292832,2,5,600
"1",35,4.44473091239398,2,0,600
"1",36,4.44473155149626,2,0,600
"1",37,4.44473198172587,2,0,600
"1",38,4.44473227136015,2,4,600
"1",39,4.44473246634337,2,1,600
"1",40,4.44473259760618,2,0,600
"1",41,4.44473268838805,2,31,600
"1",42,4.44473274983109,2,2,600
"1",43,4.44473279098323,2,0,600
"1",44,4.44473281279649,2,15,600
"1",45,4.44473282843207,2,0,600
"1",46,4.44473283963954,2,8,600
"1",47,4.44473284767296,2,14,600
"1",48,4.44473285343126,2,0,600
"1",49,4.44473285755876,2,3,600
"1",50,4.44473286051733,2,0,600
"1",51,4.444732862638,2,9,600
"1",52,4.44473286415808,2,1,600
"1",53,4.44473286524767,2,13,600
"1",54,4.44473286602868,2,1,600
"1",55,4.44473286658849,2,1,600
"1",56,4.44473286698977,2,0,600
"1",57,4.4447328672774,2,11,600
"1",58,4.44473286748357,2,0,600
"1",59,4.44473286763135,2,2,600
"1",60,4.44473286773728,2,0,600
"1",61,4.44473286781321,2,17,600
"1",62,4.44473286786763,2,0,600
"1",63,4.44473286790664,2,1,600
"1",64,4.44473286793461,2,14,600
"1",65,4.44473286795465,2,4,600
"1",66,4.44473286796902,2,0,600
"1",67,4.44473286797932,2,10,600
"1",68,4.4447328679867,2,1,600
"1",69,4.44473286799199,2,2,600
"1",70,4.44473286799578,2,6,600
"1",71,4.4447328679985,2,5,600
"1",72,4.44473286800045,2,0,600
"1",73,4.44473286800185,2,5,600
"1",74,4.44473286800285,2,3,600
"1",75,4.44473286800357,2,3,600
"1",76,4.44473286800408,2,10,600
"1",77,4.44473286800445,2,1,600
"1",78,4.44473286800471,2,0,600
"1",79,4.4447328680049,2,6,600
"1",80,4.44473286800504,2,6,600
"1",81,4.44473286800514,2,1,600
"1",82,4.44473286800521,2,4,600
"1",83,4.44473286800526,2,6,600
"1",84,4.44473286800529,2,0,600
"1",85,4.44473286800532,2,1,600
"1",86,4.44473286800534,2,1,600
"1",87,4.44473286800535,2,1,600
"1",88,4.44473286800536,2,7,600
"1",89,4.44473286800537,2,6,600
"1",90,4.44473286800537,2,4,600
"1",91,4.44473286800537,2,17,600
"1",92,4.44473286800538,2,8,600
"1",93,4.44473286800538,2,1,600
"1",94,4.44473286800538,2,15,600
"1",95,4.44473286800538,2,1,600
"1",96,4.44473286800538,2,9,600
"1",97,4.44473286800538,2,4,600
"1",98,4.44473286800538,2,7,600
"1",99,4.44473286800538,2,0,600
"1",100,4.44473286800538,2,0,600
"2",1,100.674949568113,100,110,600
"2",2,101.382477995145,100,112,600
"2",3,102.123971159968,100,147,600
"2",4,102.901116119059,100,112,600
"2",5,103.715482935649,100,70,600
"2",6,104.568740628626,100,96,600
"2",7,105.46261644898,100,124,600
"2",8,106.398907649048,100,56,600
"2",9,107.379468821119,100,122,600
"2",10,108.406216582616,100,86,600
"2",11,109.481129924282,100,93,600
"2",12,110.606249119162,100,108,600
"2",13,111.783674714672,100,134,600
"2",14,113.015566076863,100,61,600
"2",15,114.30413943752,100,101,600
"2",16,115.651665394336,100,132,600
"2",17,117.06046580744,100,134,600
"2",18,118.532910034545,100,115,600
"2",19,120.071410445226,100,128,600
"2",20,121.678417153832,100,115,600
"2",21,123.356411910249,100,131,600
"2",22,125.10790132889,100,181,600
"2",23,126.93540826967,100,175,600
"2",24,128.841463315942,100,154,600
"2",25,130.828594825141,100,136,600
"2",26,132.899317537976,100,153,600
"2",27,135.056120301347,100,110,600
"2",28,137.30145260071,100,145,600
"2",29,139.637709799391,100,164,600
"2",30,142.067217278426,100,102,600
"2",31,144.592213367963,100,115,600
"2",32,147.214831093808,100,181,600
"2",33,149.937078824339,100,155,600
"2",34,152.76081989765,100,168,600
"2",35,155.68775131339,100,138,600
"2",36,158.719381618184,100,150,600
"2",37,161.85700813872,100,138,600
"2",38,165.10169374534,100,175,600
"2",39,168.454243358888,100,218,600
"2",40,171.915180443163,100,183,600
"2",41,175.484723754172,100,210,600
"2",42,179.162764651005,100,209,600
"2",43,182.948845270091,100,122,600
"2",44,186.842137924661,100,212,600
"2",45,190.841426097786,100,187,600
"2",46,194.945087384133,100,171,600
"2",47,199.151078756125,100,202,600
"2",48,203.456924532374,100,187,600
"2",49,207.85970740691,100,251,600
"2",50,212.356062878877,100,227,600
"2",51,216.942177392745,100,212,600
"2",52,221.613790459828,100,252,600
"2",53,226.366200983465,100,292,600
"2",54,231.194277864353,100,238,600
"2",55,236.092475394188,100,193,600
"2",56,241.054852773641,100,261,600
"2",57,246.075098163755,100,240,600
"2",58,251.146557155529,100,234,600
"2",59,256.26226533056,100,217,600
"2",60,261.414984595261,100,255,600
"2",61,266.597242973313,100,211,600
"2",62,271.801377401682,100,272,600
"2",63,277.019579022642,100,250,600
"2",64,282.243940410741,100,250,600
"2",65,287.466504130672,100,260,600
"2",66,292.679311992312,100,309,600
"2",67,297.874454353516,100,302,600
"2",68,303.044118807827,100,271,600
"2",69,308.180637667519,100,321,600
"2",70,313.276533571261,100,371,600
"2",71,318.324562675306,100,373,600
"2",72,323.317754916985,100,365,600
"2",73,328.249450898017,100,260,600
"2",74,333.113335002344,100,392,600
"2",75,337.903464445827,100,384,600
"2",76,342.614294034196,100,305,600
"2",77,347.24069648712,100,360,600
"2",78,351.777978266697,100,358,600
"2",79,356.221890925974,100,368,600
"2",80,360.56863815112,100,362,600
"2",81,364.814878249088,100,327,600
"2",82,368.957722988522,100,330,600
"2",83,372.994732579985,100,348,600
"2",84,376.923907093443,100,360,600
"2",85,380.743674763017,100,358,600
"2",86,384.452877558617,100,379,600
"2",87,388.050754329652,100,346,600
